Day	Total	1	2	3	4	5	6	2P
02/05/2015 07:01	1	0	0	0	0	0	0	1
02/05/2015 08:07	1	0	0	0	0	0	0	1
02/05/2015 16:50	1	0	0	0	0	0	0	1
02/05/2015 17:55	1	0	0	0	0	0	0	1
02/05/2015 18:18	1	0	0	0	0	0	0	1
02/05/2015 20:05	1	0	0	0	0	0	0	1
03/05/2015 10:13	1	0	0	0	0	0	0	1
03/05/2015 14:15	1	0	0	0	0	0	0	1
03/05/2015 18:49	1	0	0	0	0	0	0	1
03/05/2015 19:38	1	0	0	0	0	0	0	1
04/05/2015 11:39	1	0	0	0	0	0	0	1
04/05/2015 12:49	1	0	0	0	0	0	0	1
04/05/2015 17:33	1	0	0	0	0	0	0	1
04/05/2015 17:56	1	0	0	0	0	0	0	1
04/05/2015 18:32	1	0	0	0	0	0	0	1
04/05/2015 21:03	1	0	0	0	0	0	0	1
05/05/2015 02:55	1	0	0	0	1	0	0	0
06/05/2015 09:59	1	0	0	0	0	0	0	1
06/05/2015 12:57	1	0	0	0	0	0	0	1
07/05/2015 20:30	1	0	0	0	0	0	0	1
08/05/2015 06:17	1	0	0	0	0	0	0	1
08/05/2015 06:46	1	0	0	0	0	0	0	1
08/05/2015 07:15	1	0	0	0	0	0	0	1
08/05/2015 09:15	1	0	0	0	0	0	0	1
09/05/2015 09:46	1	0	0	0	0	0	0	1
09/05/2015 11:23	1	0	0	0	0	0	0	1
10/05/2015 08:49	1	0	0	0	0	0	0	1
10/05/2015 09:38	1	0	0	0	0	0	0	1
10/05/2015 10:51	1	0	0	0	0	0	0	1
10/05/2015 11:00	1	0	0	0	0	0	0	1
10/05/2015 12:33	1	0	0	0	0	0	0	1
10/05/2015 13:34	1	0	0	0	0	0	0	1
10/05/2015 13:51	1	0	0	0	0	0	0	1
10/05/2015 15:40	1	0	0	0	0	0	0	1
11/05/2015 07:31	1	0	0	0	0	0	0	1
11/05/2015 08:12	1	0	0	0	0	0	0	1
11/05/2015 14:45	1	0	0	0	0	0	0	1
12/05/2015 10:28	1	0	0	0	0	0	0	1
12/05/2015 11:28	1	0	0	0	0	0	0	1
12/05/2015 12:31	1	0	0	0	0	0	0	1
12/05/2015 13:51	1	0	0	0	0	0	0	1
13/05/2015 16:40	1	0	0	0	0	0	0	1
13/05/2015 18:27	1	0	0	0	0	0	0	1
14/05/2015 12:11	1	0	0	0	0	0	0	1
15/05/2015 10:53	1	0	0	0	0	0	0	1
15/05/2015 11:54	1	0	0	0	0	0	0	1
15/05/2015 13:24	1	0	0	0	0	0	0	1
15/05/2015 13:50	1	0	0	0	0	0	0	1
15/05/2015 14:56	1	0	0	0	0	0	0	1
15/05/2015 15:55	1	0	0	0	0	0	0	1
15/05/2015 18:53	1	0	0	0	0	0	0	1
15/05/2015 20:27	1	0	0	0	0	0	0	1
16/05/2015 12:21	1	0	0	0	0	0	0	1
17/05/2015 18:33	1	0	0	0	0	0	0	1
18/05/2015 07:37	1	0	0	0	0	0	0	1
18/05/2015 08:40	1	0	0	0	0	0	0	1
19/05/2015 09:34	1	0	0	0	0	0	0	1
20/05/2015 13:21	1	0	0	0	0	0	0	1
20/05/2015 15:29	1	0	0	0	0	0	0	1
21/05/2015 02:17	1	0	0	0	1	0	0	0
21/05/2015 03:08	1	0	0	0	1	0	0	0
21/05/2015 06:48	1	0	0	0	0	0	0	1
21/05/2015 07:35	1	0	0	0	0	0	0	1
21/05/2015 08:33	1	0	0	0	0	0	0	1
21/05/2015 11:13	1	0	0	0	0	0	0	1
21/05/2015 16:12	1	0	0	0	0	0	0	1
22/05/2015 12:51	1	0	0	0	0	0	0	1
22/05/2015 14:29	1	0	0	0	0	0	0	1
22/05/2015 17:06	1	0	0	0	0	0	0	1
22/05/2015 17:28	1	0	0	0	0	0	0	1
22/05/2015 18:35	1	0	0	0	0	0	0	1
23/05/2015 07:25	1	0	0	0	0	0	0	1
23/05/2015 08:24	1	0	0	0	0	0	0	1
23/05/2015 16:28	1	0	0	0	0	0	0	1
23/05/2015 18:11	1	0	0	0	0	0	0	1
25/05/2015 09:49	1	0	0	0	0	0	0	1
25/05/2015 10:18	1	0	0	0	0	0	0	1
25/05/2015 11:08	1	0	0	0	0	0	0	1
25/05/2015 12:42	1	0	0	0	0	0	0	1
25/05/2015 14:18	1	0	0	0	0	0	0	1
25/05/2015 14:40	1	0	0	0	0	0	0	1
25/05/2015 16:43	1	0	0	0	0	0	0	1
26/05/2015 12:38	1	0	0	0	0	0	0	1
26/05/2015 14:46	1	0	0	0	0	0	0	1
26/05/2015 15:32	1	0	0	0	0	0	0	1
26/05/2015 15:38	1	0	0	0	0	0	0	1
26/05/2015 15:50	1	0	0	0	0	0	0	1
26/05/2015 16:38	1	0	0	0	0	0	0	1
26/05/2015 17:31	1	0	0	0	0	0	0	1
27/05/2015 10:45	1	0	0	0	0	0	0	1
27/05/2015 12:00	1	0	0	0	0	0	0	1
27/05/2015 13:01	1	0	0	0	0	0	0	1
27/05/2015 14:54	1	0	0	0	0	0	0	1
27/05/2015 16:39	1	0	0	0	0	0	0	1
28/05/2015 06:38	1	0	0	0	0	0	0	1
28/05/2015 08:30	1	0	0	0	0	0	0	1
28/05/2015 08:34	1	0	0	0	0	0	0	1
28/05/2015 09:29	1	0	0	0	0	0	0	1
28/05/2015 09:33	1	0	0	0	0	0	0	1
28/05/2015 10:30	1	0	0	0	0	0	0	1
28/05/2015 10:44	1	0	0	0	0	0	0	1
29/05/2015 07:58	1	0	0	0	0	0	0	1
29/05/2015 08:59	1	0	0	0	0	0	0	1
29/05/2015 16:43	1	0	0	0	0	0	0	1
29/05/2015 16:45	1	0	0	0	0	0	0	1
29/05/2015 17:39	1	0	0	0	0	0	0	1
29/05/2015 17:57	1	0	0	0	0	0	0	1
30/05/2015 18:00	1	0	0	0	0	0	0	1
31/05/2015 12:30	1	0	0	0	0	0	0	1
31/05/2015 14:55	1	0	0	0	0	0	0	1
31/05/2015 18:38	1	0	0	0	0	0	0	1
01/06/2015 15:28	1	0	0	0	0	0	0	1
01/06/2015 17:45	1	0	0	0	0	0	0	1
01/06/2015 17:49	1	0	0	0	0	0	0	1
01/06/2015 18:23	1	0	0	0	0	0	0	1
02/06/2015 04:49	1	0	0	0	1	0	0	0
02/06/2015 05:33	1	0	0	0	1	0	0	0
04/06/2015 15:16	1	0	0	0	0	0	0	1
04/06/2015 16:28	1	0	0	0	0	0	0	1
04/06/2015 16:31	1	0	0	0	0	0	0	1
04/06/2015 17:10	1	0	0	0	0	0	0	1
05/06/2015 12:35	1	0	0	0	0	0	0	1
05/06/2015 12:51	1	0	0	0	0	0	0	1
05/06/2015 13:58	1	0	0	0	0	0	0	1
05/06/2015 15:02	1	0	0	0	0	0	0	1
05/06/2015 15:25	1	0	0	0	0	0	0	1
05/06/2015 16:13	1	0	0	0	0	0	0	1
07/06/2015 07:01	1	0	0	0	0	0	0	1
07/06/2015 08:46	1	0	0	0	0	0	0	1
07/06/2015 15:54	1	0	0	0	0	0	0	1
07/06/2015 16:54	1	0	0	0	0	0	0	1
08/06/2015 14:28	1	0	0	0	0	0	0	1
08/06/2015 15:53	1	0	0	0	0	0	0	1
08/06/2015 16:06	1	0	0	0	0	0	0	1
09/06/2015 20:53	1	0	0	0	0	0	0	1
10/06/2015 00:18	1	0	0	0	0	0	0	1
10/06/2015 13:13	1	0	0	0	0	0	0	1
10/06/2015 14:26	1	0	0	0	0	0	0	1
10/06/2015 17:01	1	0	0	0	0	0	0	1
10/06/2015 18:21	1	0	0	0	0	0	0	1
10/06/2015 19:04	1	0	0	0	0	0	0	1
10/06/2015 20:43	1	0	0	0	0	0	0	1
11/06/2015 09:48	1	0	0	0	0	0	0	1
11/06/2015 12:16	1	0	0	0	0	0	0	1
12/06/2015 14:33	1	0	0	0	0	0	0	1
12/06/2015 16:09	1	0	0	0	0	0	0	1
12/06/2015 16:54	1	0	0	0	0	0	0	1
12/06/2015 18:24	1	0	0	0	0	0	0	1
13/06/2015 18:20	1	0	0	0	0	0	0	1
14/06/2015 07:49	1	0	0	0	0	0	0	1
14/06/2015 09:22	1	0	0	0	0	0	0	1
14/06/2015 10:03	1	0	0	0	0	0	0	1
14/06/2015 11:40	1	0	0	0	0	0	0	1
15/06/2015 07:21	1	0	0	0	0	0	0	1
15/06/2015 09:08	1	0	0	0	0	0	0	1
