Day	Total	1	2	3	4	5	6	2P
04/05/2015 15:49	1	1	0	0	0	0	0	0
04/05/2015 16:03	1	1	0	0	0	0	0	0
06/05/2015 15:43	1	0	0	1	0	0	0	0
08/05/2015 08:42	1	1	0	0	0	0	0	0
08/05/2015 08:43	1	1	0	0	0	0	0	0
08/05/2015 10:46	1	1	0	0	0	0	0	0
08/05/2015 12:57	1	1	0	0	0	0	0	0
16/05/2015 09:59	1	0	0	0	0	0	0	1
24/05/2015 10:54	1	0	0	1	0	0	0	0
26/05/2015 07:28	1	0	1	0	0	0	0	0
26/05/2015 11:07	1	0	1	0	0	0	0	0
02/06/2015 08:50	1	1	0	0	0	0	0	0
03/06/2015 15:23	1	0	1	0	0	0	0	0
04/06/2015 06:16	1	1	0	0	0	0	0	0
04/06/2015 09:06	1	1	0	0	0	0	0	0
05/06/2015 11:18	1	1	0	0	0	0	0	0
06/06/2015 09:46	1	0	1	0	0	0	0	0
06/06/2015 11:04	1	0	0	1	0	0	0	0
08/06/2015 13:01	1	0	0	1	0	0	0	0
10/06/2015 12:55	1	1	0	0	0	0	0	0
11/06/2015 21:00	1	1	0	0	0	0	0	0
12/06/2015 18:17	1	0	1	0	0	0	0	0
13/06/2015 09:07	1	1	0	0	0	0	0	0
14/06/2015 09:50	1	1	0	0	0	0	0	0
16/06/2015 11:28	1	0	1	0	0	0	0	0
19/06/2015 13:31	1	1	0	0	0	0	0	0
21/06/2015 12:51	1	1	0	0	0	0	0	0
21/06/2015 13:05	1	1	0	0	0	0	0	0
21/06/2015 15:34	1	1	0	0	0	0	0	0
21/06/2015 16:08	1	1	0	0	0	0	0	0
22/06/2015 15:07	1	1	0	0	0	0	0	0
23/06/2015 06:42	1	1	0	0	0	0	0	0
23/06/2015 07:03	1	1	0	0	0	0	0	0
23/06/2015 09:27	1	1	0	0	0	0	0	0
23/06/2015 11:44	1	1	0	0	0	0	0	0
23/06/2015 12:06	1	1	0	0	0	0	0	0
23/06/2015 13:47	1	1	0	0	0	0	0	0
23/06/2015 15:07	1	1	0	0	0	0	0	0
24/06/2015 06:14	1	1	0	0	0	0	0	0
25/06/2015 09:59	1	0	1	0	0	0	0	0
28/06/2015 09:16	1	0	1	0	0	0	0	0
28/06/2015 12:54	1	1	0	0	0	0	0	0
28/06/2015 13:09	1	1	0	0	0	0	0	0
28/06/2015 14:02	1	0	1	0	0	0	0	0
28/06/2015 15:18	1	1	0	0	0	0	0	0
28/06/2015 17:15	1	0	1	0	0	0	0	0
28/06/2015 20:51	1	0	1	0	0	0	0	0
01/07/2015 08:44	1	1	0	0	0	0	0	0
01/07/2015 09:23	1	1	0	0	0	0	0	0
03/07/2015 07:35	1	0	0	1	0	0	0	0
05/07/2015 13:56	1	1	0	0	0	0	0	0
05/07/2015 14:21	1	1	0	0	0	0	0	0
05/07/2015 15:37	1	0	1	0	0	0	0	0
05/07/2015 16:32	1	1	0	0	0	0	0	0
07/07/2015 13:32	1	0	1	0	0	0	0	0
07/07/2015 15:40	1	0	0	1	0	0	0	0
08/07/2015 05:56	1	1	0	0	0	0	0	0
08/07/2015 09:54	1	1	0	0	0	0	0	0
08/07/2015 11:52	1	1	0	0	0	0	0	0
09/07/2015 14:16	1	0	1	0	0	0	0	0
10/07/2015 08:01	1	1	0	0	0	0	0	0
10/07/2015 12:06	1	1	0	0	0	0	0	0
10/07/2015 16:36	1	0	1	0	0	0	0	0
12/07/2015 17:07	1	1	0	0	0	0	0	0
13/07/2015 15:32	1	0	0	1	0	0	0	0
14/07/2015 15:54	1	0	0	1	0	0	0	0
14/07/2015 16:10	1	0	0	1	0	0	0	0
14/07/2015 16:58	1	1	0	0	0	0	0	0
15/07/2015 10:32	1	1	0	0	0	0	0	0
15/07/2015 11:29	1	1	0	0	0	0	0	0
16/07/2015 12:40	1	1	0	0	0	0	0	0
16/07/2015 14:30	1	1	0	0	0	0	0	0
17/07/2015 07:55	1	0	0	1	0	0	0	0
17/07/2015 09:22	1	1	0	0	0	0	0	0
17/07/2015 22:05	1	0	1	0	0	0	0	0
20/07/2015 08:14	1	1	0	0	0	0	0	0
20/07/2015 09:51	1	1	0	0	0	0	0	0
20/07/2015 10:04	1	1	0	0	0	0	0	0
20/07/2015 12:19	1	1	0	0	0	0	0	0
21/07/2015 09:02	1	0	1	0	0	0	0	0
21/07/2015 12:50	1	1	0	0	0	0	0	0
22/07/2015 08:19	1	0	0	1	0	0	0	0
23/07/2015 10:07	1	1	0	0	0	0	0	0
23/07/2015 14:05	1	0	1	0	0	0	0	0
23/07/2015 17:30	1	1	0	0	0	0	0	0
23/07/2015 18:55	1	1	0	0	0	0	0	0
24/07/2015 14:40	1	0	1	0	0	0	0	0
25/07/2015 12:18	1	0	1	0	0	0	0	0
26/07/2015 12:42	1	0	1	0	0	0	0	0
26/07/2015 14:59	1	0	1	0	0	0	0	0
28/07/2015 06:50	1	0	0	1	0	0	0	0
28/07/2015 07:51	1	0	0	1	0	0	0	0
28/07/2015 08:30	1	1	0	0	0	0	0	0
28/07/2015 19:48	1	0	1	0	0	0	0	0
29/07/2015 13:48	1	1	0	0	0	0	0	0
30/07/2015 06:28	1	1	0	0	0	0	0	0
30/07/2015 09:06	1	1	0	0	0	0	0	0
31/07/2015 12:08	1	1	0	0	0	0	0	0
03/08/2015 16:27	1	1	0	0	0	0	0	0
04/08/2015 14:55	1	0	0	1	0	0	0	0
06/08/2015 11:01	1	0	0	1	0	0	0	0
06/08/2015 12:15	1	1	0	0	0	0	0	0
06/08/2015 17:40	1	0	0	1	0	0	0	0
07/08/2015 19:10	1	1	0	0	0	0	0	0
08/08/2015 09:05	1	0	0	1	0	0	0	0
08/08/2015 17:36	1	0	0	1	0	0	0	0
09/08/2015 13:40	1	1	0	0	0	0	0	0
09/08/2015 18:23	1	0	0	1	0	0	0	0
10/08/2015 08:08	1	0	0	1	0	0	0	0
10/08/2015 15:07	1	1	0	0	0	0	0	0
11/08/2015 16:19	1	1	0	0	0	0	0	0
13/08/2015 08:25	1	0	0	1	0	0	0	0
15/08/2015 15:32	1	1	0	0	0	0	0	0
16/08/2015 13:47	1	1	0	0	0	0	0	0
16/08/2015 14:57	1	1	0	0	0	0	0	0
16/08/2015 15:11	1	1	0	0	0	0	0	0
17/08/2015 10:07	1	1	0	0	0	0	0	0
17/08/2015 17:46	1	0	1	0	0	0	0	0
18/08/2015 16:40	1	1	0	0	0	0	0	0
18/08/2015 16:49	1	1	0	0	0	0	0	0
20/08/2015 07:33	1	1	0	0	0	0	0	0
20/08/2015 09:07	1	1	0	0	0	0	0	0
22/08/2015 10:19	1	0	0	1	0	0	0	0
22/08/2015 15:17	1	0	0	1	0	0	0	0
23/08/2015 06:29	1	1	0	0	0	0	0	0
24/08/2015 07:08	1	0	0	1	0	0	0	0
25/08/2015 13:49	1	1	0	0	0	0	0	0
28/08/2015 09:34	1	0	0	1	0	0	0	0
29/08/2015 15:01	1	0	1	0	0	0	0	0
31/08/2015 06:51	1	1	0	0	0	0	0	0
05/09/2015 09:42	1	0	0	1	0	0	0	0
05/09/2015 11:02	1	1	0	0	0	0	0	0
05/09/2015 18:40	1	0	1	0	0	0	0	0
08/09/2015 09:52	1	0	0	1	0	0	0	0
08/09/2015 13:47	1	1	0	0	0	0	0	0
09/09/2015 16:06	1	0	0	1	0	0	0	0
10/09/2015 12:16	1	0	1	0	0	0	0	0
11/09/2015 15:07	1	0	1	0	0	0	0	0
12/09/2015 14:37	1	0	1	0	0	0	0	0
13/09/2015 05:32	1	0	1	0	0	0	0	0
13/09/2015 08:50	1	1	0	0	0	0	0	0
13/09/2015 11:07	1	1	0	0	0	0	0	0
13/09/2015 12:49	1	1	0	0	0	0	0	0
13/09/2015 13:05	1	1	0	0	0	0	0	0
15/09/2015 14:51	1	0	0	1	0	0	0	0
15/09/2015 15:06	1	0	0	1	0	0	0	0
17/09/2015 05:23	1	1	0	0	0	0	0	0
17/09/2015 06:06	1	1	0	0	0	0	0	0
17/09/2015 10:51	1	1	0	0	0	0	0	0
17/09/2015 10:29	1	1	0	0	0	0	0	0
17/09/2015 12:06	1	1	0	0	0	0	0	0
18/09/2015 12:23	1	0	1	0	0	0	0	0
19/09/2015 07:07	1	1	0	0	0	0	0	0
19/09/2015 12:14	1	0	0	1	0	0	0	0
19/09/2015 15:07	1	1	0	0	0	0	0	0
19/09/2015 17:41	1	1	0	0	0	0	0	0
21/09/2015 17:48	1	1	0	0	0	0	0	0
22/09/2015 06:37	1	1	0	0	0	0	0	0
22/09/2015 12:08	1	1	0	0	0	0	0	0
26/09/2015 08:26	1	1	0	0	0	0	0	0
26/09/2015 12:08	1	1	0	0	0	0	0	0
26/09/2015 18:57	1	1	0	0	0	0	0	0
29/09/2015 17:01	1	1	0	0	0	0	0	0
04/10/2015 08:27	1	0	1	0	0	0	0	0
06/10/2015 10:50	1	0	0	1	0	0	0	0
12/10/2015 11:12	1	1	0	0	0	0	0	0
16/10/2015 09:48	1	0	1	0	0	0	0	0
17/10/2015 16:52	1	0	0	1	0	0	0	0
26/10/2015 11:27	1	1	0	0	0	0	0	0
27/10/2015 06:05	1	1	0	0	0	0	0	0
20/11/2015 15:06	1	0	0	0	0	0	0	1
28/11/2015 16:43	1	0	0	1	0	0	0	0
04/01/2016 14:25	1	0	0	1	0	0	0	0
07/02/2016 06:54	1	0	0	1	0	0	0	0
06/05/2016 08:47	1	0	0	1	0	0	0	0
06/05/2016 11:08	1	0	0	1	0	0	0	0
06/05/2016 13:27	1	1	0	0	0	0	0	0
15/05/2016 10:52	1	1	0	0	0	0	0	0
15/05/2016 12:41	1	1	0	0	0	0	0	0
21/05/2016 10:25	1	1	0	0	0	0	0	0
24/05/2016 13:46	1	1	0	0	0	0	0	0
24/05/2016 14:04	1	1	0	0	0	0	0	0
