Day	Total	1	2	3	4	5	6	2P
02/05/2015 07:49	1	0	0	0	0	0	0	1
02/05/2015 17:36	1	0	0	0	0	0	0	1
02/05/2015 18:03	1	0	0	0	0	0	0	1
03/05/2015 13:55	1	0	0	0	0	0	0	1
03/05/2015 19:18	1	0	0	0	0	0	0	1
04/05/2015 11:57	1	0	0	0	0	0	0	1
04/05/2015 12:31	1	0	0	0	0	0	0	1
04/05/2015 17:51	1	0	0	0	0	0	0	1
04/05/2015 18:15	1	0	0	0	0	0	0	1
04/05/2015 21:22	1	0	0	0	0	0	0	1
04/05/2015 22:22	1	0	0	0	0	0	0	1
06/05/2015 10:38	1	0	0	0	0	0	0	1
08/05/2015 06:59	1	0	0	0	0	0	0	1
10/05/2015 09:20	1	0	0	0	0	0	0	1
10/05/2015 09:52	1	0	0	0	0	0	0	1
10/05/2015 10:35	1	0	0	0	0	0	0	1
10/05/2015 10:44	1	0	0	0	0	0	0	1
11/05/2015 07:57	1	0	0	0	0	0	0	1
11/05/2015 14:28	1	0	0	0	0	0	0	1
12/05/2015 09:42	1	0	0	0	0	0	0	1
12/05/2015 10:10	1	0	0	0	0	0	0	1
12/05/2015 10:56	1	0	0	0	0	0	0	1
12/05/2015 11:11	1	0	0	0	0	0	0	1
15/05/2015 11:35	1	0	0	0	0	0	0	1
15/05/2015 16:42	1	0	0	0	0	0	0	1
15/05/2015 18:37	1	0	0	0	0	0	0	1
17/05/2015 18:18	1	0	0	0	0	0	0	1
18/05/2015 07:52	1	0	0	0	0	0	0	1
18/05/2015 08:25	1	0	0	0	0	0	0	1
20/05/2015 15:48	1	0	0	0	0	0	0	1
20/05/2015 16:05	1	0	0	0	0	0	0	1
22/05/2015 17:44	1	0	0	0	0	0	0	1
22/05/2015 18:19	1	0	0	0	0	0	0	1
23/05/2015 07:41	1	0	0	0	0	0	0	1
23/05/2015 08:07	1	0	0	0	0	0	0	1
23/05/2015 17:27	1	0	0	0	0	0	0	1
25/05/2015 10:51	1	0	0	0	0	0	0	1
25/05/2015 12:24	1	0	0	0	0	0	0	1
25/05/2015 16:59	1	0	0	0	0	0	0	1
25/05/2015 17:12	1	0	0	0	0	0	0	1
26/05/2015 16:21	1	0	0	0	0	0	0	1
27/05/2015 12:51	1	0	0	0	0	0	0	1
29/05/2015 17:38	1	0	0	0	0	0	0	1
31/05/2015 11:59	1	0	0	0	0	0	0	1
31/05/2015 12:13	1	0	0	0	0	0	0	1
01/06/2015 18:06	1	0	0	0	0	0	0	1
01/06/2015 18:27	1	0	0	0	0	0	0	1
04/06/2015 16:53	1	0	0	0	0	0	0	1
05/06/2015 11:19	1	0	0	0	0	0	0	1
05/06/2015 12:18	1	0	0	0	0	0	0	1
05/06/2015 15:47	1	0	0	0	0	0	0	1
05/06/2015 16:28	1	0	0	0	0	0	0	1
05/06/2015 17:26	1	0	0	0	0	0	0	1
07/06/2015 16:38	1	0	0	0	0	0	0	1
