Day,Total,1,2,3,4,5,6,2P
01/05/2015,2,2,1,1,0,0,0,0,0
02/05/2015,3,3,1,2,0,0,0,0,0
03/05/2015,1,1,1,0,0,0,0,0,0
04/05/2015,2,2,0,2,0,0,0,0,0
06/05/2015,0,0,0,0,0,0,0,0,0
07/05/2015,1,1,1,0,0,0,0,0,0
08/05/2015,3,3,2,1,0,0,0,0,0
09/05/2015,2,2,2,0,0,0,0,0,0
10/05/2015,1,1,0,1,0,0,0,0,0
11/05/2015,3,3,1,1,1,0,0,0,0
12/05/2015,2,2,1,1,0,0,0,0,0
14/05/2015,2,2,1,1,0,0,0,0,0
15/05/2015,1,1,1,0,0,0,0,0,0
16/05/2015,2,2,1,1,0,0,0,0,0
17/05/2015,3,3,0,2,0,0,0,0,1
18/05/2015,2,2,1,1,0,0,0,0,0
19/05/2015,3,3,2,0,1,0,0,0,0
20/05/2015,1,1,0,0,1,0,0,0,0
21/05/2015,1,1,0,1,0,0,0,0,0
22/05/2015,4,4,2,1,0,0,0,0,1
23/05/2015,4,4,1,3,0,0,0,0,0
24/05/2015,4,4,2,2,0,0,0,0,0
25/05/2015,2,2,2,0,0,0,0,0,0
26/05/2015,2,2,1,0,1,0,0,0,0
27/05/2015,1,1,1,0,0,0,0,0,0
28/05/2015,2,2,0,1,0,0,0,0,1
29/05/2015,2,2,0,2,0,0,0,0,0
30/05/2015,1,1,0,0,1,0,0,0,0
31/05/2015,1,1,0,0,0,0,0,0,1
01/06/2015,4,4,1,2,1,0,0,0,0
02/06/2015,4,4,1,3,0,0,0,0,0
03/06/2015,5,5,2,2,1,0,0,0,0
04/06/2015,5,5,2,2,1,0,0,0,0
05/06/2015,8,8,3,2,3,0,0,0,0
06/06/2015,9,9,4,3,2,0,0,0,0
07/06/2015,7,7,4,2,1,0,0,0,0
08/06/2015,9,9,5,2,2,0,0,0,0
09/06/2015,9,9,5,3,1,0,0,0,0
10/06/2015,11,11,5,3,3,0,0,0,0
11/06/2015,7,7,4,1,2,0,0,0,0
12/06/2015,6,6,3,2,1,0,0,0,0
13/06/2015,9,9,3,2,3,0,0,0,1
14/06/2015,10,10,3,4,3,0,0,0,0
15/06/2015,7,7,5,0,2,0,0,0,0
16/06/2015,6,6,2,2,2,0,0,0,0
17/06/2015,9,9,6,0,3,0,0,0,0
18/06/2015,5,5,1,3,1,0,0,0,0
19/06/2015,12,12,5,4,3,0,0,0,0
20/06/2015,8,8,6,1,1,0,0,0,0
21/06/2015,12,12,4,3,5,0,0,0,0
22/06/2015,5,5,4,1,0,0,0,0,0
23/06/2015,13,13,7,4,1,0,0,0,1
24/06/2015,8,8,4,2,2,0,0,0,0
25/06/2015,13,13,10,2,1,0,0,0,0
26/06/2015,4,4,3,0,1,0,0,0,0
27/06/2015,7,7,5,1,1,0,0,0,0
28/06/2015,7,7,5,2,0,0,0,0,0
29/06/2015,9,9,4,4,1,0,0,0,0
30/06/2015,9,9,5,3,1,0,0,0,0
01/07/2015,10,10,4,4,2,0,0,0,0
02/07/2015,7,7,4,2,1,0,0,0,0
03/07/2015,15,15,7,5,3,0,0,0,0
04/07/2015,17,17,10,4,3,0,0,0,0
05/07/2015,16,16,8,5,3,0,0,0,0
06/07/2015,17,17,7,6,4,0,0,0,0
07/07/2015,14,14,6,7,1,0,0,0,0
08/07/2015,11,11,6,3,2,0,0,0,0
09/07/2015,10,10,3,2,5,0,0,0,0
10/07/2015,12,12,3,8,1,0,0,0,0
11/07/2015,17,17,6,5,6,0,0,0,0
12/07/2015,11,11,3,5,3,0,0,0,0
13/07/2015,14,14,5,7,2,0,0,0,0
14/07/2015,10,10,5,4,1,0,0,0,0
15/07/2015,5,5,4,1,0,0,0,0,0
16/07/2015,9,9,6,1,1,0,0,0,1
17/07/2015,6,6,4,0,2,0,0,0,0
18/07/2015,11,11,7,4,0,0,0,0,0
19/07/2015,10,10,6,1,3,0,0,0,0
20/07/2015,9,9,2,4,3,0,0,0,0
21/07/2015,10,10,4,4,2,0,0,0,0
22/07/2015,9,9,5,2,2,0,0,0,0
23/07/2015,9,9,4,2,3,0,0,0,0
24/07/2015,12,12,9,1,2,0,0,0,0
