Day,Total,1,2,3,4,5,6,2P
01/05/2015,1,1,0,0,0,0,0,0
02/05/2015,2,0,0,2,0,0,0,0
03/05/2015,2,1,0,1,0,0,0,0
04/05/2015,3,1,1,1,0,0,0,0
05/05/2015,1,1,0,0,0,0,0,0
06/05/2015,1,0,1,0,0,0,0,0
07/05/2015,3,2,0,1,0,0,0,0
08/05/2015,1,0,1,0,0,0,0,0
09/05/2015,3,0,2,1,0,0,0,0
10/05/2015,1,1,0,0,0,0,0,0
11/05/2015,8,4,2,2,0,0,0,0
12/05/2015,3,0,2,1,0,0,0,0
13/05/2015,5,2,2,0,0,0,0,1
14/05/2015,3,1,1,1,0,0,0,0
15/05/2015,2,1,1,0,0,0,0,0
16/05/2015,4,2,2,0,0,0,0,0
17/05/2015,4,2,1,1,0,0,0,0
18/05/2015,3,0,2,1,0,0,0,0
19/05/2015,3,2,0,0,0,0,0,1
20/05/2015,2,1,1,0,0,0,0,0
21/05/2015,5,0,2,2,0,0,0,1
22/05/2015,7,3,2,0,0,0,0,2
23/05/2015,6,2,2,2,0,0,0,0
24/05/2015,4,2,2,0,0,0,0,0
25/05/2015,4,2,1,0,0,0,0,1
26/05/2015,2,1,1,0,0,0,0,0
27/05/2015,5,3,2,0,0,0,0,0
28/05/2015,4,3,1,0,0,0,0,0
29/05/2015,4,3,1,0,0,0,0,0
30/05/2015,1,1,0,0,0,0,0,0
31/05/2015,3,1,2,0,0,0,0,0
01/06/2015,7,6,0,1,0,0,0,0
02/06/2015,9,3,4,2,0,0,0,0
03/06/2015,9,4,3,2,0,0,0,0
04/06/2015,15,6,7,2,0,0,0,0
05/06/2015,10,5,4,1,0,0,0,0
06/06/2015,10,3,6,1,0,0,0,0
07/06/2015,8,6,2,0,0,0,0,0
08/06/2015,7,5,1,1,0,0,0,0
09/06/2015,6,5,1,0,0,0,0,0
10/06/2015,11,7,3,1,0,0,0,0
11/06/2015,14,7,6,1,0,0,0,0
12/06/2015,16,8,3,5,0,0,0,0
